query_id,dataset,task_type,q_Qwen2.5-3B,c_Qwen2.5-3B,t_Qwen2.5-3B,q_Qwen2.5-7B,c_Qwen2.5-7B,t_Qwen2.5-7B,q_Qwen2.5-14B,c_Qwen2.5-14B,t_Qwen2.5-14B,q_DS-R1-Distill-14B,c_DS-R1-Distill-14B,t_DS-R1-Distill-14B
gsm8k_test_0044,gsm8k,math,1.0,0.00011054,4565.8,1.0,0.00010381,5864.8,1.0,0.00033572,7082.3,1.0,0.00050806,18718.6
gsm8k_test_0045,gsm8k,math,1.0,7.542e-05,2990.2,1.0,0.00010661,5963.6,1.0,0.00027468,5551.7,1.0,0.00033838,12521.9
gsm8k_test_0046,gsm8k,math,1.0,0.00010746,4334.8,1.0,9.044e-05,4899.2,1.0,0.00029288,5885.1,1.0,0.00051604,19063.9
gsm8k_test_0047,gsm8k,math,0.0,4.586e-05,1653.3,1.0,9.128e-05,4969.2,1.0,0.00031052,6310.5,1.0,0.00052668,19172.9
gsm8k_test_0048,gsm8k,math,1.0,9.36e-05,3837.8,1.0,0.00012068,6959.3,1.0,0.00037212,8020.0,1.0,0.00062972,23218.3
gsm8k_test_0049,gsm8k,math,1.0,4.816e-05,1889.4,1.0,4.109e-05,2135.1,1.0,0.00017108,3346.3,1.0,0.00031822,11532.0
gsm8k_test_0050,gsm8k,math,1.0,6.304e-05,2506.5,1.0,6.531e-05,3594.3,1.0,0.00022904,4709.2,1.0,0.00051506,23629.3
gsm8k_test_0051,gsm8k,math,1.0,6.664e-05,2677.3,1.0,8.505e-05,4830.8,1.0,0.0001862,3770.7,1.0,0.00068838,24442.2
gsm8k_test_0052,gsm8k,math,0.0,0.00012654,5277.4,1.0,6.937e-05,3831.9,1.0,0.00020048,4058.7,1.0,0.0003983,15947.3
gsm8k_test_0053,gsm8k,math,1.0,7.804e-05,3100.6,1.0,0.00010416,5902.6,1.0,0.0002982,6282.9,1.0,0.0004326,14930.3
gsm8k_test_0054,gsm8k,math,1.0,8.01e-05,3103.3,1.0,0.0001015,5574.5,1.0,0.00029456,5961.9,1.0,0.00058632,20998.7
gsm8k_test_0055,gsm8k,math,1.0,7.066e-05,2733.7,1.0,7.252e-05,3869.9,1.0,0.00023492,4643.0,1.0,0.00038556,13181.0
gsm8k_test_0056,gsm8k,math,1.0,3.662e-05,1333.9,1.0,3.164e-05,1506.6,1.0,0.0001848,3662.6,1.0,0.0003122,10768.4
gsm8k_test_0057,gsm8k,math,1.0,4.578e-05,1753.0,1.0,4.893e-05,2591.7,1.0,0.00016996,3325.1,1.0,0.00032494,11178.8
gsm8k_test_0058,gsm8k,math,1.0,0.00010402,4242.8,1.0,0.00011389,6424.1,1.0,0.00026208,5318.4,1.0,0.00061054,20846.0
gsm8k_test_0059,gsm8k,math,1.0,8.2e-05,3245.6,1.0,8.414e-05,4581.0,1.0,0.00026992,5462.8,1.0,0.000392,13329.4
gsm8k_test_0060,gsm8k,math,1.0,5.094e-05,2027.7,1.0,5.446e-05,2988.3,1.0,0.00018564,3817.8,1.0,0.0003752,13165.0
gsm8k_test_0061,gsm8k,math,1.0,7.198e-05,2949.5,1.0,5.404e-05,2938.6,1.0,0.00024948,5248.2,1.0,0.0005894,20373.4
gsm8k_test_0062,gsm8k,math,1.0,6.352e-05,2519.5,1.0,7.364e-05,4032.1,1.0,0.0001974,3880.3,1.0,0.00034636,11902.2
gsm8k_test_0063,gsm8k,math,0.0,0.00010018,4103.9,0.0,0.0001071,6042.7,0.0,0.0003906,8298.9,0.0,0.00215992,85257.0
gsm8k_test_0064,gsm8k,math,1.0,8.572e-05,3457.9,1.0,8.001e-05,4383.6,1.0,0.0002632,5341.1,1.0,0.00065422,25151.8
gsm8k_test_0065,gsm8k,math,1.0,0.00010168,4099.0,1.0,7.217e-05,3801.7,1.0,0.00021028,3947.5,1.0,0.0004347,17095.6
gsm8k_test_0066,gsm8k,math,1.0,5.338e-05,2088.0,1.0,9.135e-05,5153.6,1.0,0.00023604,4817.0,1.0,0.00029106,11763.2
gsm8k_test_0067,gsm8k,math,1.0,6.196e-05,2434.9,1.0,7.476e-05,4096.4,1.0,0.00027944,5753.2,1.0,0.0003766,14569.8
gsm8k_test_0068,gsm8k,math,1.0,9.868e-05,4056.8,1.0,8.008e-05,4442.1,1.0,0.00020776,4125.1,1.0,0.00080388,31131.2
gsm8k_test_0069,gsm8k,math,1.0,5.828e-05,2326.0,1.0,6.993e-05,3890.8,1.0,0.00024416,5123.4,1.0,0.00041286,16067.9
gsm8k_test_0070,gsm8k,math,1.0,6.226e-05,2453.7,1.0,5.754e-05,3082.9,1.0,0.00019796,3950.1,1.0,0.00028504,11028.5
gsm8k_test_0071,gsm8k,math,1.0,8.674e-05,3556.1,1.0,0.00010913,6217.8,1.0,0.00034608,7342.7,1.0,0.0007567,29393.6
gsm8k_test_0072,gsm8k,math,1.0,4.462e-05,1716.0,1.0,5.418e-05,2908.5,1.0,0.00018144,3615.5,1.0,0.00030128,11432.8
gsm8k_test_0073,gsm8k,math,1.0,7.006e-05,2831.6,1.0,6.44e-05,3499.6,1.0,0.00020916,4206.8,1.0,0.00038388,14805.9
gsm8k_test_0074,gsm8k,math,1.0,6.932e-05,2809.7,1.0,8.505e-05,4775.9,1.0,0.0002758,5789.3,1.0,0.0004347,17505.2
gsm8k_test_0075,gsm8k,math,1.0,8.584e-05,3336.7,1.0,7.448e-05,3796.4,1.0,0.00025564,4784.9,1.0,0.00076132,30098.1
gsm8k_test_0076,gsm8k,math,0.0,6.838e-05,2720.6,1.0,9.1e-05,5050.3,1.0,0.00032368,6736.6,1.0,0.00091924,36131.5
gsm8k_test_0077,gsm8k,math,1.0,0.00010286,4161.8,1.0,0.00011907,6668.6,1.0,0.0003724,7726.6,1.0,0.0006013,23585.0
gsm8k_test_0078,gsm8k,math,1.0,5.854e-05,2357.2,1.0,8.505e-05,4774.7,1.0,0.00028672,5979.0,1.0,0.00065142,24111.3
