dataset,model_count,seed,split_seed,policy,point,quality,mean_cost,total_cost,normalized_cost,auc,sample_count
gsm8k,5,0,42,Routing,12,0.6425897146086466,0.0019247813930488669,13.62360269999988,0.22532418503253845,0.6596117852637401,7078
gsm8k,5,0,42,Routing,13,0.6503602712630686,0.0025267571347838205,17.884386999999883,0.295794366168762,0.6596117852637401,7078
gsm8k,5,0,42,Routing,14,0.6566826787228031,0.0031072096354902356,21.99282979999989,0.3637449329937039,0.6596117852637401,7078
gsm8k,5,0,42,Routing,15,0.665265611754733,0.003784922266176872,26.7896797999999,0.4430812393125416,0.6596117852637401,7078
gsm8k,5,0,42,Routing,16,0.6689036450974851,0.004361008745408294,30.867219899999903,0.5105206986245784,0.6596117852637401,7078
gsm8k,5,0,42,Routing,17,0.6730361684091551,0.0048904796270132665,34.6148147999999,0.5725031114465997,0.6596117852637401,7078
gsm8k,5,0,42,Routing,18,0.6769920881604973,0.005609175572195522,39.70174469999991,0.6566371220512368,0.6596117852637401,7078
gsm8k,5,0,42,Routing,19,0.6797471037016106,0.006068970048036156,42.95616999999991,0.7104628790568916,0.6596117852637401,7078
gsm8k,5,0,42,Cascade,0,0.507064142413111,0.00015856411415651482,1.1223167999998118,0.018562279294028906,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,1,0.5343670528397853,0.0002048832721107355,1.4501637999997858,0.023984623127525858,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,2,0.545351794292173,0.00023623984176317879,1.6721055999997794,0.027655374272496758,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,3,0.5647075445040972,0.0002854146651596152,2.0201649999997566,0.03341201606357819,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,4,0.5668267872280305,0.0003039759536591863,2.1515417999997206,0.03558488993872246,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,5,0.585688047471037,0.00033989559197509524,2.405780999999724,0.03978981589001476,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,6,0.5937058491099181,0.00038552158801917523,2.728721799999722,0.04513101485009279,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,7,0.6068804747103702,0.0004334430347555362,3.0679097999996854,0.05074093032955763,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,8,0.6144037863803334,0.00046935747386262817,3.3221121999996823,0.054945247636411794,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,9,0.6183950268437411,0.0005044605820852866,3.570571999999659,0.0590545866402821,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,10,0.6183950268437411,0.0005044605820852866,3.570571999999659,0.0590545866402821,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,11,0.640081944051992,0.0013100437129132043,9.27248939999966,0.15336002988972902,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,12,0.6510666855043797,0.0014154641424130594,10.018655199999634,0.16570105336835322,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,13,0.6587666007346709,0.0022223987284542986,15.730138199999526,0.26016470447748197,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,14,0.6706696807007629,0.0027209812658942644,19.259105399999605,0.31853117888638294,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,15,0.6717646227747951,0.0030608645097484517,21.66479899999954,0.3583195492458609,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,16,0.6824667985306584,0.003669365950833509,25.971772199999577,0.4295536601941346,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,17,0.6801356315343318,0.004241052415936642,30.018168999999553,0.49647803264946716,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,18,0.6891070923989827,0.005094505340491599,36.05890879999954,0.5963873446282015,0.6714771525408864,7078
gsm8k,5,0,42,Cascade,19,0.6910497315625883,0.00580324246962412,41.07535019999952,0.6793555282363812,0.6714771525408864,7078
gsm8k,5,0,42,Cascade Routing,0,0.507064142413111,0.00015856411415651482,1.1223167999998118,0.018562279294028906,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,1,0.5484953376660073,0.000198770825091806,1.4068998999998028,0.023269070624748783,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,2,0.5668621079400961,0.00023424073184512498,1.6579558999997945,0.027421348832151853,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,3,0.5833215597626448,0.00026950129980217517,1.9075301999997958,0.03154912083129911,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,4,0.6012291607798813,0.0003214208392200895,2.2750166999997936,0.03762707230612891,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,5,0.6139799378355467,0.00036684374116979323,2.5965199999997965,0.04294449609284672,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,6,0.6185363096920033,0.0003923036874823104,2.776725499999793,0.0459249600949187,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,7,0.6274371291325234,0.000438217109352897,3.101700699999805,0.051299806507299,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,8,0.6320994631251766,0.0004764218140717449,3.3721135999998104,0.055772233343027784,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,9,0.6350310822266176,0.0005156144391070657,3.6495189999998106,0.06036031089160647,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,10,0.6350310822266176,0.0005158953659225502,3.6515073999998107,0.060393197538360976,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,11,0.6541749081661486,0.0011848571630403795,8.386418999999806,0.13870508911100066,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,12,0.6626518790618818,0.0017375587171517106,12.298440599999807,0.20340699640089066,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,13,0.6689389658095507,0.00218919905340489,15.495150899999812,0.2562781905331615,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,14,0.6748022040124328,0.0026560848827352095,18.799768799999814,0.3109340955502276,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,15,0.6836323820288217,0.00368057030234527,26.05107659999982,0.4308652955737798,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,16,0.6871291325233116,0.004265856725063553,30.193733899999827,0.4993817446031988,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,17,0.6887892059903927,0.004619054591692546,32.69366839999984,0.5407287888653772,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,18,0.6913322972591127,0.0052306148912121845,37.02229219999984,0.6123209845220708,0.6774035140542932,7078
gsm8k,5,0,42,Cascade Routing,19,0.693063012150325,0.005837776603560305,41.31978279999984,0.683398260368496,0.6774035140542932,7078
gsm8k,5,0,42,Best Single / Static,0,0.6621573890929641,0.006042675332014681,42.77005599999991,0.7073846928900897,,7078
gsm8k,5,0,42,Oracle,0,0.7352006216445324,,,,,7078
gsm8k,11,0,42,Routing,0,0.41773806159932186,9.424149477253325e-05,0.6670412999999904,0.011032363510244184,0.6702733894517676,7078
gsm8k,11,0,42,Routing,1,0.44327493642271826,0.00010161549872844996,0.7192344999999688,0.011895599947272366,0.6702733894517676,7078
