task_id,node_type,candidate,selected,eligible,Q,C_tokens,L_seconds,score,actual_shadow_tokens,actual_shadow_latency_s,actual_shadow_node_accuracy,actual_status,score_margin_to_selected
73e5a61285a24255bb9c67aa68f2a100,semantic,large,True,True,0.7165048543689321,606.1145631067961,7.206079910427407,0.6501687266614552,,,,not_sampled_or_unavailable,0.0
73e5a61285a24255bb9c67aa68f2a100,semantic,coder,False,True,0.6815533980582524,642.1669902912622,7.046042803178633,0.6142148345277961,,,,not_sampled_or_unavailable,0.03595389213365907
73e5a61285a24255bb9c67aa68f2a100,semantic,reasoning,False,False,0.7203883495145631,2728.8776699029127,67.7278672625018,0.2453051297069085,,,,not_sampled_or_unavailable,0.4048635969545467
73e5a61285a24255bb9c67aa68f2a100,semantic,small,False,False,,,,,,,,not_sampled_or_unavailable,
b52ac057503f483ca5e6a9c4bbef9367,extraction,medium,False,True,0.6873786407766991,3336.4330097087377,35.392362472071525,0.3435951779309045,,,,not_sampled_or_unavailable,0.007679617127065219
b52ac057503f483ca5e6a9c4bbef9367,extraction,large,True,True,0.7165048543689321,3337.114563106796,39.67486623112452,0.3512747950579697,,,,not_sampled_or_unavailable,0.0
b52ac057503f483ca5e6a9c4bbef9367,extraction,coder,False,True,0.6815533980582524,3373.166990291262,37.01136831259648,0.32783820698070687,,,,not_sampled_or_unavailable,0.023436588077262843
b52ac057503f483ca5e6a9c4bbef9367,extraction,reasoning,False,False,0.7203883495145631,5459.877669902913,135.50840852086944,-0.2301475765849298,,,,not_sampled_or_unavailable,0.5814223716428994
b52ac057503f483ca5e6a9c4bbef9367,extraction,small,False,False,,,,,,,,not_sampled_or_unavailable,
b52ac057503f483ca5e6a9c4bbef9367,semantic,medium,False,True,0.6873786407766991,600.4330097087379,6.369299985334826,0.6255104903645881,,,,not_sampled_or_unavailable,0.025205460631549492
b52ac057503f483ca5e6a9c4bbef9367,semantic,large,True,True,0.7165048543689321,601.1145631067961,7.146635043490942,0.6507159509961375,,,,not_sampled_or_unavailable,0.0
b52ac057503f483ca5e6a9c4bbef9367,semantic,coder,False,True,0.6815533980582524,637.1669902912622,6.991181350396834,0.6147391417917052,,,,not_sampled_or_unavailable,0.03597680920443236
b52ac057503f483ca5e6a9c4bbef9367,semantic,reasoning,False,False,0.7203883495145631,2723.8776699029127,67.6037725329918,0.24617560335445848,,,,not_sampled_or_unavailable,0.40454034764167907
b52ac057503f483ca5e6a9c4bbef9367,semantic,small,False,False,,,,,,,,not_sampled_or_unavailable,
e04bd1f7dbfd45168ebe2d75bccdaa9f,extraction,medium,False,True,0.6873786407766991,3784.4330097087377,40.14467679738513,0.29743360630433646,,,,not_sampled_or_unavailable,0.0048098883660968594
e04bd1f7dbfd45168ebe2d75bccdaa9f,extraction,large,True,True,0.7165048543689321,3785.114563106796,45.00112630863177,0.3022434946704333,,,,not_sampled_or_unavailable,0.0
e04bd1f7dbfd45168ebe2d75bccdaa9f,extraction,coder,False,True,0.6815533980582524,3821.166990291262,41.92695448184555,0.2808602761344616,,,,not_sampled_or_unavailable,0.02138321853597175
e04bd1f7dbfd45168ebe2d75bccdaa9f,extraction,reasoning,False,False,0.7203883495145631,5907.877669902913,146.62729628496635,-0.30814201540541436,,,,not_sampled_or_unavailable,0.6103855100758477
e04bd1f7dbfd45168ebe2d75bccdaa9f,extraction,small,False,False,,,,,,,,not_sampled_or_unavailable,
e04bd1f7dbfd45168ebe2d75bccdaa9f,semantic,medium,False,True,0.6873786407766991,598.4330097087379,6.348084296382533,0.6257165688093494,,,,not_sampled_or_unavailable,0.02521827192066106
e04bd1f7dbfd45168ebe2d75bccdaa9f,semantic,large,True,True,0.7165048543689321,599.1145631067961,7.122857096716356,0.6509348407300105,,,,not_sampled_or_unavailable,0.0
e04bd1f7dbfd45168ebe2d75bccdaa9f,semantic,coder,False,True,0.6815533980582524,635.1669902912622,6.969236769284115,0.6149488646972687,,,,not_sampled_or_unavailable,0.035985976032741784
e04bd1f7dbfd45168ebe2d75bccdaa9f,semantic,reasoning,False,False,0.7203883495145631,2721.8776699029127,67.5541346411878,0.24652379281347847,,,,not_sampled_or_unavailable,0.40441104791653204
e04bd1f7dbfd45168ebe2d75bccdaa9f,semantic,small,False,False,,,,,,,,not_sampled_or_unavailable,
60eb9b850df64568b4b02bd869fc2fa6,extraction,medium,True,True,0.6873786407766991,4767.433009708738,50.572187917437105,0.1961460507040766,,,,not_sampled_or_unavailable,0.0
60eb9b850df64568b4b02bd869fc2fa6,extraction,large,False,True,0.7165048543689321,4768.114563106796,56.68798714834075,0.1946591904718885,,,,not_sampled_or_unavailable,0.0014868602321880808
60eb9b850df64568b4b02bd869fc2fa6,extraction,coder,False,True,0.6815533980582524,4804.166990291262,52.71271609874695,0.1777814680499546,,,,not_sampled_or_unavailable,0.018364582654121997
60eb9b850df64568b4b02bd869fc2fa6,extraction,reasoning,False,False,0.7203883495145631,6890.877669902913,171.02432010663438,-0.4792771345137545,,,,not_sampled_or_unavailable,0.6754231852178311
60eb9b850df64568b4b02bd869fc2fa6,extraction,small,False,False,,,,,,,,not_sampled_or_unavailable,
60eb9b850df64568b4b02bd869fc2fa6,semantic,medium,False,True,0.6873786407766991,612.4330097087379,6.496594119048583,0.6242740196960193,,,,not_sampled_or_unavailable,0.02512859289688074
60eb9b850df64568b4b02bd869fc2fa6,semantic,large,True,True,0.7165048543689321,613.1145631067961,7.289302724138458,0.6494026125929,,,,not_sampled_or_unavailable,0.0
60eb9b850df64568b4b02bd869fc2fa6,semantic,coder,False,True,0.6815533980582524,649.1669902912622,7.122848837073149,0.6134808043583235,,,,not_sampled_or_unavailable,0.03592180823457647
60eb9b850df64568b4b02bd869fc2fa6,semantic,reasoning,False,False,0.7203883495145631,2735.8776699029127,67.90159988381582,0.24408646660033834,,,,not_sampled_or_unavailable,0.40531614599256166
60eb9b850df64568b4b02bd869fc2fa6,semantic,small,False,False,,,,,,,,not_sampled_or_unavailable,
a3908b821ac5470a935233f0bda0081e,extraction,medium,False,True,0.6873786407766991,3226.4330097087377,34.22549957969541,0.35492949239278515,,,,not_sampled_or_unavailable,0.0083842380281956
a3908b821ac5470a935233f0bda0081e,extraction,large,True,True,0.7165048543689321,3227.114563106796,38.367079158522294,0.36331373042098075,,,,not_sampled_or_unavailable,0.0
a3908b821ac5470a935233f0bda0081e,extraction,coder,False,True,0.6815533980582524,3263.166990291262,35.80441635139694,0.33937296678670464,,,,not_sampled_or_unavailable,0.023940763634276108
a3908b821ac5470a935233f0bda0081e,extraction,reasoning,False,False,0.7203883495145631,5349.877669902913,132.7783244716492,-0.21099715633882865,,,,not_sampled_or_unavailable,0.5743108867598095
a3908b821ac5470a935233f0bda0081e,extraction,small,False,False,,,,,,,,not_sampled_or_unavailable,
a3908b821ac5470a935233f0bda0081e,semantic,medium,False,True,0.6873786407766991,601.4330097087379,6.379907829810972,0.6254074511422073,,,,not_sampled_or_unavailable,0.025199054986993707
a3908b821ac5470a935233f0bda0081e,semantic,large,True,True,0.7165048543689321,602.1145631067961,7.158524016878235,0.650606506129201,,,,not_sampled_or_unavailable,0.0
a3908b821ac5470a935233f0bda0081e,semantic,coder,False,True,0.6815533980582524,638.1669902912622,7.002153640953194,0.6146342803389233,,,,not_sampled_or_unavailable,0.0359722257902777
a3908b821ac5470a935233f0bda0081e,semantic,reasoning,False,False,0.7203883495145631,2724.8776699029127,67.62859147889381,0.2460015086249484,,,,not_sampled_or_unavailable,0.4046049975042526
a3908b821ac5470a935233f0bda0081e,semantic,small,False,False,,,,,,,,not_sampled_or_unavailable,
45d7508d5fc247c0b551185775a26005,extraction,medium,False,True,0.6873786407766991,3101.4330097087377,32.8995190201771,0.36780939519037664,,,,not_sampled_or_unavailable,0.009184943597662254
45d7508d5fc247c0b551185775a26005,extraction,large,True,True,0.7165048543689321,3102.114563106796,36.88095748511066,0.3769943387880389,,,,not_sampled_or_unavailable,0.0
45d7508d5fc247c0b551185775a26005,extraction,coder,False,True,0.6815533980582524,3138.166990291262,34.432880031851994,0.35248064838442933,,,,not_sampled_or_unavailable,0.024513690403609567
45d7508d5fc247c0b551185775a26005,extraction,reasoning,False,False,0.7203883495145631,5224.877669902913,129.67595623389894,-0.18923531515007735,,,,not_sampled_or_unavailable,0.5662296539381162
45d7508d5fc247c0b551185775a26005,extraction,small,False,False,,,,,,,,not_sampled_or_unavailable,
45d7508d5fc247c0b551185775a26005,semantic,medium,False,True,0.6873786407766991,602.4330097087379,6.390515674287119,0.6253044119198266,,,,not_sampled_or_unavailable,0.025192649342438034
45d7508d5fc247c0b551185775a26005,semantic,large,True,True,0.7165048543689321,603.1145631067961,7.170412990265528,0.6504970612622646,,,,not_sampled_or_unavailable,0.0
45d7508d5fc247c0b551185775a26005,semantic,coder,False,True,0.6815533980582524,639.1669902912622,7.0131259315095535,0.6145294188861415,,,,not_sampled_or_unavailable,0.035967642376123043
45d7508d5fc247c0b551185775a26005,semantic,reasoning,False,False,0.7203883495145631,2725.8776699029127,67.65341042479581,0.24582741389543833,,,,not_sampled_or_unavailable,0.40466964736682626
45d7508d5fc247c0b551185775a26005,semantic,small,False,False,,,,,,,,not_sampled_or_unavailable,
87db6a9c0c874dc4ba00221006d105b1,extraction,medium,False,True,0.6873786407766991,3378.4330097087377,35.837891940069674,0.33926753059091375,,,,not_sampled_or_unavailable,0.007410580055724425
